Rudzu iela;62
Rudzu iela;56
Rudzu iela;52A
Rudzu iela;52
Mežvidu iela;7
Āķa iela;31
Āķa iela;27
Āķa iela;23
Āķa iela;21
Āķa iela;13
Apļa iela;4
Apļa iela;10
Apļa iela;8
Auklu iela;8
Auklu iela;6
Auklu iela;4
Auklu iela;2
Rudzu iela;43
Rudzu iela;41
Vinču iela;3
Vinču iela;4
Vinču iela;2
Apļa iela;12
Apļa iela;17
Apļa iela;15
Apļa iela;31
Kātu iela;32
Vizuļu iela;7
Vizuļu iela;6
Rudzu iela;36
Rudzu iela;49
Rudzu iela;47
Kātu iela;10
Kātu iela;8
Kātu iela;6
Kātu iela;5
Kātu iela;4
Kātu iela;2
Kātu iela;3
Kātu iela;1
Kātu iela;36
Vizuļu iela;5
Vizuļu iela;3
Vizuļu iela;1
Kātu iela;35
Kātu iela;33
Kātu iela;31
Āķa iela;33
Āķa iela;18
Āķa iela;20
Āķa iela;19
Āķa iela;16
Āķa iela;12
Āķa iela;14
Āķa iela;17
Āķa iela;15
Āķa iela;11
Āķa iela;9
Āķa iela;10
Āķa iela;8
Āķa iela;6
Āķa iela;4
Āķa iela;2
Āķa iela;7
Āķa iela;3
Āķa iela;1
Āķa iela;5
Āķa iela;22
Āķa iela;24
Āķa iela;26
Āķa iela;28
Āķa iela;30
Apļa iela;39
Apļa iela;41
Rudzu iela;42
Rudzu iela;40
Rudzu iela;44
Rudzu iela;46
Rudzu iela;48
Rudzu iela;50
Mazurgas iela;17
Lielurgas iela;9
Mazurgas iela;15
Mazurgas iela;14
Langas iela;27
Langas iela;29
Langas iela;11
Līču iela;5
Mazurgas iela;7
Mazurgas iela;5
Vārpu iela;18B
Mazurgas iela;4
Vārpu iela;18A
Vārpu iela;20A
Langas iela;9A
Langas iela;9
Langas iela;21
Langas iela;23
Mazurgas iela;8
Langas iela;15
Vārpu iela;12
Mazurgas iela;10
Vadu iela;10
Lielurgas iela;3
Līču iela;17
Langas iela;35
Mazurgas iela;16
Vadu iela;9
Vārpu iela;14B
Līču iela;10
Langas iela;7
Vārpu iela;15
Mazurgas iela;2
Vārpu iela;21
Vārpu iela;19
Vārpu iela;17
Līču iela;6
Līču iela;16
Vārpu iela;16
Vārpu iela;14
Vārpu iela;18
Vārpu iela;20
Līču iela;15
Apļa iela;35
Apļa iela;33
Arāju iela;11A
Trīsciema 10.līnija;9
Arāju iela;9A
Arāju iela;9
Vadu iela;3
Trīsciema iela;10A
Trīsciema iela;10
Rudzu iela;13
Rudzu iela;34
Rudzu iela;31
Virves iela;1
Trīsciema 4.līnija;4
Trīsciema iela;26
Arāju iela;4
Trīsciema iela;32
Trīsciema iela;30
Trīsciema 10.līnija;7
